name,description,latitude,longitude
The Punchbowls,"An great spot to go hiking, swimming, camping and of course Cliff Jumping!Videos and Pictures of Punchbowls (http://12feetunder.com/Rocks/pics/Punchbowls/Spots.php)",34.448998,          -119.056348
Rindge Dam,The absolute best place to go Cliff Jumping in Southern California. 12 feet Under (http://12feetunder.com/),34.064293,          -118.699025
Gibralter Dam,"This spot is illegal to swim, fish or in any other way be at. It's a magnificent cliff jumping spot though!See  the The Jumping Pool (http://12feetunder.com/Xtreme/Videos.php?7), a video shot at Gibralter Dam",34.524661,          -119.687461
Red Rock,A killer cliff jump and defiantly one of SoCal's best! Go Jumping at Red Rock (http://12feetunder.com/Rocks/hiking/Red-Rock/Trails.php),34.539064,          -119.706055
The Potholes,A great spot to stop and get wet at while your on your way to Red Rock or Gibralter Dam. Get hiking directions to Red Rock (http://12feetunder.com/Rocks/hiking/Red-Rock/Trails.php),34.534427,          -119.714584
Port Hueneme Harbor Bridge,A nice bridge to take a flying leap off of!,34.175736,          -119.228009
Mugu's Cauldron,A killer spot to go extreme cliff jumping,34.083658,          -119.060897
Man's Jump,Another illegal cliff jumping spot,34.196043,          -118.908891
Paradise Falls,You can go cliff jumping here as long as you do not climb rocks or do any swimming,34.214463,          -118.910415
The Rock Pool,8 bucks to go here...hike on down to Rindge Dam (http://12feetunder.com/Rocks/hiking/Rindge-Dam/Trails.php),34.097554,          -118.728476
Century Dam,Hey as long as you check the water...,34.097875,          -118.734012
Matilija Dam,160 foot tall dam surrounded by 100 foot cliffs. Check the water you plan on landing on and if you see camo netting...LEAVE! I've seen gun battles here so if you get shot sticking your nose in someone else's business you are screwed,34.483778,          -119.309464
The Matilija Backcountry,Matilija Falls and some awesome camping can be found back here so explore.Jumping Off Cliffs (http://12feetunder.com/Xtreme/),34.542338,          -119.40688
Tar Creek,Yeah it's on top of a mountain. Hike down the hill and you'll see Tar Creek.,34.492691,          -118.918075
Anacapa Landing Dock,"This island has a hundred foot staircase over thirty feet of water.I'd love to post this spot on my cliff jumping website, 12 Feet Under (http://12feetunder.com/Xtreme/), so I hope one of you boaters out therE in SoCal hook me up!",34.034452,          -119.926758
Box Canyon,I'm just guessing that this is the spot. You can get text directions at the website that is all about jumping off of cliffs 12 Feet Under (http://12feetunder.com/bin/59/8/spot.php),33.099918,          -117.235986
The La Jolla Clam,This spot is an extreme spot to go cliff diving. it has the big three 1. 100 foot cliffs 2. Dangerous water 3. Angry cops with ticket books.You can find out more about extreme cliff jumping at 12 Feet Under (http://12feetunder.com/Xtreme/),32.850245,          -117.270168
The Devil's Punchbowl,Hey guys check the water or you might come to a very sudden stop!See Cliff Jumping Videos (http://12feetunder.com/Xtreme/Videos.php?13) at the extreme website! 12 feet Under,32.990524,          -116.72802
Cable Cars,I went here once and almost got shot then arrested. We continued to explore and found decks with garden hoses covered by huge camo nets.,34.484132,          -119.300794
The 619,This area is represented by Johnny C and Evan. It is literally crawling with jumps so I hope some of you adrenaline junkies help me add to the insanity that we call Cliff Jumping!,,e
Edgewater Pier,A nice jump into the foul Lake Erie,41.49257,          -81.73708
The 100+ foot RTA Rapid Bridge,You need to sneak onto this bridge. Park on Riverbed street and then head uphill until you see a chainlink fence. When did a No Trespassing sign ever stop you before. Hide in the bushes when you hear a train and don't go to the edge until you're ready!,41.488407,          -81.70133
The No Excuses Railway,There is a guy who will not let you jump so you have to get this one done! I know it's over fifty feet but my rough estimate is 65-70 feet.,41.486944,          -81.691804
The Brookside Sewer Hole,You will need to explore around to find this 30 foot jump. it's in a sewage ditch so think twice about swimming in it. I never did because the Cuyahoga River and Lake Erie are nasty enough!,41.450986,          -81.727027
Nelson's ledges,A spot I saw people jumping years ago. Enter the park and you'll have to jump a fence.,41.322436,          -81.036647
SoCal Kerplunker Territory,This is the the backyard for the extreme cliff jumpers from 12 Feet Under (http://12feetunder.com/Xtreme/). There are dozens of cliff jumps hidden all over the place. Some jumps are inside city limits and other jumps lead you miles out into the Los Padres National Forest.,,e
