name,description,latitude,longitude
"Hatchet Creek Falls
",None,40.873319,          -121.893222
"Emigrant Gap/Lions Slide 
",None,39.266602,          -120.662081
"Beale/Fairy Falls
",None,39.1151281,          -121.242671
"Gods Bath Clavey River
",None,37.9914362,          -120.0544256
"Happy Valley/Camp Creek
",None,38.658144,          -120.6624126
"Hunt Hot Spring
",None,41.0339571,          -121.9316769
"Indian Springs CG/Yuba Jump Spots
",None,39.3310693,          -120.5754554
"Potem Falls
",None,40.8392605,          -122.0282257
"Rainbow Falls
",None,37.8215651,          -120.012567
"Nick's Ropeswing
",None,38.6582027,          -120.6822395
"Traverse Falls
",None,38.831317,          -120.7905471
"Emerald Pools
",None,39.318811,          -120.6579441
"Jolly Boys Mine
",None,39.3536133,          -120.7106066
"Seven Falls
",None,39.7041409,          -121.2436152
The Flumes,Park at Feather River Hospital,39.7461836,          -121.5626907
"Brown/Bear Hole
",None,39.7722627,          -121.7633629
"McCloud Falls
",None,41.2432073,          -122.0089674
"Camp 9 Cliff Jumping
",None,38.1433494,          -120.3797293
"Candy Rock/Blue Streak
",None,38.2013621,          -120.3240252
"Wildwood Falls
",None,39.2330177,          -121.2240243
